FeatureCode,DateCode,Measurement,Units,Value,Age of Dwelling,Type Of Dwelling,Number of Bedrooms,Type Of Tenure,Household Type,Fuel Poverty
S12000040,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.9,All,All,All,All,All,Fuel Poor
S12000038,2017-2019,Percent,Percent of households in fuel poverty,10.7,All,All,All,All,Families,Fuel Poor
S12000027,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.3,All,All,All,All,Older,Fuel Poor
S12000018,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,12.7,All,All,All,Owner Occupied,All,Fuel Poor
S12000047,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,30.9,All,Houses,All,All,All,Fuel Poor
S12000036,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,10.9,All,Houses,All,All,All,Fuel Poor
S12000038,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,27.5,All,All,All,All,Older,Fuel Poor
S12000038,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,19.8,All,All,All,All,All,Fuel Poor
S12000029,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.3,All,All,All,Social Rented,All,Fuel Poor
S12000049,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.3,All,All,All,All,Other,Fuel Poor
S12000027,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.4,All,All,All,All,All,Fuel Poor
S12000039,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,22.2,All,All,All,All,All,Fuel Poor
S92000003,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.4,All,All,All,All,Older,Fuel Poor
S12000026,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,22.5,All,All,All,All,All,Fuel Poor
S12000036,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,17.2,All,All,All,All,All,Fuel Poor
S12000049,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,29.6,All,All,All,All,Other,Fuel Poor
S12000026,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,33.5,All,All,All,All,All,Fuel Poor
S12000010,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,16.9,All,All,All,All,All,Fuel Poor
S12000049,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,34.8,All,All,All,Private Rented,All,Fuel Poor
S12000049,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,10.9,All,All,All,All,Older,Fuel Poor
S12000008,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,44.8,All,All,All,Social Rented,All,Fuel Poor
S12000038,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,32.8,All,All,All,All,Families,Fuel Poor
S12000026,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,29.6,All,Houses,All,All,All,Fuel Poor
S12000034,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,20.1,All,All,All,All,All,Fuel Poor
S12000038,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,47.6,All,All,All,Social Rented,All,Fuel Poor
S12000038,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,20.8,All,All,All,Owner Occupied,All,Fuel Poor
S12000038,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,43.6,All,Flats,All,All,All,Fuel Poor
S12000050,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,18.8,All,All,All,All,All,Fuel Poor
S12000047,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.6,All,All,All,All,All,Fuel Poor
S12000019,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,15.2,All,All,All,All,All,Fuel Poor
S12000050,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,15.1,All,Houses,All,All,All,Fuel Poor
S12000050,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,29.6,All,All,All,Social Rented,All,Fuel Poor
S12000050,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,8.3,All,All,All,Owner Occupied,All,Fuel Poor
S12000050,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,17.7,All,All,All,Owner Occupied,All,Fuel Poor
S12000049,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,21.7,All,All,All,All,All,Fuel Poor
S12000014,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,11.9,All,All,All,All,Families,Fuel Poor
S12000014,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,15.3,All,All,All,All,Other,Fuel Poor
S12000017,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,26.7,All,All,All,All,All,Fuel Poor
S12000020,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,26.6,All,All,All,All,All,Fuel Poor
S12000020,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.3,All,Houses,All,All,All,Fuel Poor
S12000014,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.8,All,All,All,All,Older,Fuel Poor
S12000048,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,15.3,All,Houses,All,All,All,Fuel Poor
S92000003,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,23.8,All,All,All,All,All,Fuel Poor
S12000008,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,29.8,All,All,All,All,Other,Fuel Poor
S12000028,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,14.3,All,All,All,All,All,Fuel Poor
S12000030,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,18.4,All,All,All,All,All,Fuel Poor
S12000018,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.2,All,All,All,All,All,Fuel Poor
S12000029,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,15.9,All,All,All,All,All,Fuel Poor
S12000013,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.9,All,All,All,Owner Occupied,All,Fuel Poor
S12000050,2013-2015,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,17.6,All,All,All,All,Older,Fuel Poor
S12000050,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,18.7,All,All,All,Private Rented,All,Fuel Poor
S12000021,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.5,All,All,All,All,Other,Fuel Poor
S12000048,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.4,All,All,All,Private Rented,All,Fuel Poor
S12000050,2013-2015,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,31.7,All,Flats,All,All,All,Fuel Poor
S12000026,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,37.4,All,All,All,Social Rented,All,Fuel Poor
S12000035,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,23.6,All,All,All,All,All,Fuel Poor
S92000003,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,36.4,All,All,All,Social Rented,All,Fuel Poor
S12000033,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,34.6,All,All,All,Social Rented,All,Fuel Poor
S12000008,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.4,All,All,All,All,All,Fuel Poor
S12000035,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.1,All,All,All,All,Older,Fuel Poor
S12000005,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,21.4,All,All,All,All,All,Fuel Poor
S12000049,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,45,All,All,All,Private Rented,All,Fuel Poor
S12000013,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.9,All,All,All,All,Other,Fuel Poor
S12000013,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,30.4,All,All,All,All,All,Fuel Poor
S12000048,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.3,All,Flats,All,All,All,Fuel Poor
S12000023,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,31.1,All,All,All,All,Older,Fuel Poor
S12000008,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,31.6,All,All,All,Social Rented,All,Fuel Poor
S12000023,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25,All,All,All,All,All,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,9.2,All,All,All,Owner Occupied,All,Fuel Poor
S12000036,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,5.8,All,All,All,Owner Occupied,All,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,16.1,All,All,All,All,Other,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,16.3,All,Houses,All,All,All,Fuel Poor
S12000028,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,19.3,All,All,All,All,All,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,25.9,All,Flats,All,All,All,Fuel Poor
S12000027,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.5,All,All,All,All,Other,Fuel Poor
S12000014,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,17.2,All,All,All,All,All,Fuel Poor
S12000018,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,24.6,All,Flats,All,All,All,Fuel Poor
S12000006,2017-2019,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,31.5,All,All,All,Social Rented,All,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,39.3,All,All,All,Social Rented,All,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,14.8,All,All,All,Private Rented,All,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,21.6,All,All,All,All,Older,Fuel Poor
S12000014,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,32,All,All,All,All,Other,Fuel Poor
S12000034,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.2,All,Flats,All,All,All,Fuel Poor
S12000047,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,33.9,All,All,All,All,All,Fuel Poor
S12000045,2017-2019,Percent,Percent of households in fuel poverty,24.3,All,All,All,All,Other,Fuel Poor
S92000003,2019,Percent,Percent of households in fuel poverty,24.6,All,All,All,All,All,Fuel Poor
S12000034,2017-2019,Percent,Percent of households in fuel poverty,24.5,All,All,All,All,All,Fuel Poor
S12000038,2014-2016,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,31.5,All,All,All,All,All,Fuel Poor
S12000049,2015-2017,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.3,All,All,All,All,Families,Fuel Poor
S12000010,2012-2014,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,20.2,All,Flats,All,All,All,Fuel Poor
S12000033,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,18.1,All,All,All,All,All,Fuel Poor
S12000036,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,19.3,All,Flats,All,All,All,Fuel Poor
S12000026,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,13.5,All,All,All,All,Families,Fuel Poor
S12000041,2017-2019,"95% Upper Confidence Limit, Percent",Upper 95% CI percent of households in fuel poverty,19.8,All,All,All,Owner Occupied,All,Fuel Poor
S12000036,2014-2016,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,30.4,All,All,All,Social Rented,All,Fuel Poor
S12000047,2016-2018,"95% Lower Confidence Limit, Percent",Lower 95% CI percent of households in fuel poverty,22.1,All,All,All,All,All,Fuel Poor
