"Higher energy bills and food prices are the main contributors to rising living costs",""
"Over the last month, for what reasons has your cost of living increased? Adults in Great Britain, 6 to 16 January 2022   ",""
"",""
"Notes",""
"Unit","%"
"",""
"reason","unit"
"The price of my food shop has increased","87"
"My gas or electricity bills have increased","79"
"The price of my fuel has increased","71"
"The price of my public transport has increased","9"
"My income or earnings have reduced","8"
"My rent or mortgage costs have increased","8"
"My hours of work have reduced ","3"
"I have lost my job or stopped working","2"
